job_id,company,title,location,url,date_found,status,date_applied,contact_name,contact_linkedin,contact_email,notes,match_score,h1b_sponsor
GH-0064,Amazon,"Data Collection Associate, V-CARE","Arlington, VA",https://amazon.com,2026-03-06,new,,,,,,35,yes
GH-0065,Augment,Data Analyst I,"Salem, VA 24153",https://jobright.ai/jobs/info/69a7b8a1637232443f650933?utm_campaign=Data%20Analysis&utm_source=1103,2026-03-06,new,,,,,,60,unknown
GH-0069,↳,Data Analyst,San Francisco,https://jobright.ai/jobs/info/69a8aa612580d3183f00ae13?utm_campaign=Data%20Analysis&utm_source=1103,2026-03-06,skipped,,,,,Auto-filtered: Sub-listing (↳),50,unknown
GH-0072,The Retail Odyssey Company,Retail Data Collector,"Mount Horeb, WI, US",https://retailodyssey.com/,2026-03-06,new,,,,,,25,unknown
GH-0076,"Native American Rehabilitation Association of the Northwest, Inc. (NARA)",Data Analyst - In Person Position - AD273,"Portland, OR",https://www.naranorthwest.org,2026-03-06,new,,,,,,50,unknown
GH-0078,EverQuote,Quantitative Analyst,"Cambridge, MA",https://www.everquote.com/,2026-03-06,new,,,,,,50,unknown
GH-0079,Rivian,Data Analyst II,US-CA-Palo Alto,http://www.rivian.com,2026-03-06,new,,,,,,60,yes
GH-0080,Anduril Industries,"Data Analyst, Corporate Operations","Costa Mesa, CA",https://www.anduril.com,2026-03-06,new,,,,,,50,unknown
GH-0081,Grainger Canada,Bilingual Customer Data Analyst,"Vaughan, Ontario, Canada",https://www.acklandsgrainger.com,2026-03-06,skipped,,,,,"Auto-filtered: Location: 'Vaughan, Ontario, Canada'",50,unknown
GH-0082,PartnerRe,Claims Reporting and Data Analyst,"Maple Grove, MN",http://www.partnerre.com/,2026-03-06,new,,,,,,50,unknown
GH-0083,Charles River Laboratories,"Data Analyst II, Quality Control","Mattawan, MI",http://www.criver.com,2026-03-06,new,,,,,,60,unknown
GH-0085,"Lakeview Loan Servicing, LLC.",MSR Operations Analyst,"Coral Gables, FL",https://lakeview.com,2026-03-06,new,,,,,,45,unknown
GH-0086,University of North Texas,Data Analyst,"Denton, TX",http://unt.edu,2026-03-06,new,,,,,,50,unknown
GH-0087,The New York Times,Business Data Analyst,"New York, NY",https://www.nytco.com/,2026-03-06,new,,,,,,55,unknown
GH-0089,Cook County State’s Attorney’s Office,Data Coordinator - Alternative Prosecutions,"Chicago, IL",https://www.cookcountystatesattorney.org/,2026-03-06,new,,,,,,25,unknown
GH-0091,East West Bank,Data Analyst,"Pasadena, CA",http://eastwestbank.com,2026-03-06,new,,,,,,50,unknown
GH-0093,GiveWell,Research Analyst,United States + International (Remote),https://www.givewell.org/,2026-03-06,new,,,,,,45,unknown
GH-0094,Delta Dental of New Jersey and Connecticut,Customer Experience Data Analyst (Contract),"Parsippany, NJ, US",https://www.deltadentalnj.com,2026-03-06,preparing,,,,,,70,unknown
GH-0097,Commerce Bank,Data Analyst,"St. Louis, MO",https://www.commercebank.com/,2026-03-06,new,,,,,,50,unknown
GH-0098,SMX,Data Analyst (5080),"Quantico, VA",https://www.smxtech.com,2026-03-06,new,,,,,,50,unknown
GH-0099,TikTok,Data Analyst Graduate (TikTok Shop Governance & Experience) - 2026 Start (BS/MS),"Seattle, WA",https://www.tiktok.com,2026-03-06,new,,,,,,60,yes
GH-0101,↳,"Research Data Analyst Associate, Rheumatology","Chicago, IL",https://jobright.ai/jobs/info/699be0e981476f6176b44a2d?utm_campaign=Data%20Analysis&utm_source=1103,2026-03-06,skipped,,,,,Auto-filtered: Sub-listing (↳),60,unknown
GH-0102,Cerberus Capital Management,RMBS Mortgage Trading Desk - Quantitative Analyst/Programmer (PhD Degree Required),"New York, United States",http://www.cerberus.com,2026-03-06,skipped,,,,,Auto-filtered: Title: 'phd degree required',50,unknown
GH-0103,DHL Supply Chain,Business Data Analyst II,"Louisville, KY",https://www.dhl.com/gb-en/home/supply-chain.html,2026-03-06,new,,,,,,65,likely
GH-0104,Simcoe County District School Board,Junior Research Analyst,"Midhurst, Ontario, Canada",http://www.scdsb.on.ca,2026-03-06,skipped,,,,,"Auto-filtered: Location: 'Midhurst, Ontario, Canada'",55,unknown
GH-0106,Hearst Magazines,"Data Analyst, Social Media & Video","New York, NY",http://www.hearst.com/magazines,2026-03-06,new,,,,,,50,unknown
GH-0107,"Revantage, A Blackstone Portfolio Company","Analyst, Junior Quantitative Developer",United States,https://www.revantage.com/,2026-03-06,skipped,,,,,Auto-filtered: Low score: 20,20,likely
GH-0001,The Voleon Group,Data Analyst,"Berkeley, CA",http://voleon.com/,2026-03-09,new,,,,,,50,check
GH-0002,RemoteHunter,Junior Data Analyst (Remote),United States,https://remotehunter.com/,2026-03-09,new,,,,,,60,check
GH-0004,"Agile Consulting Group, Inc.",Data Analyst,"Norcross, GA",https://www.salesandusetax.com,2026-03-09,new,,,,,,50,check
GH-0005,AutoTrader.ca,Junior Business Analyst,"Toronto, Ontario, Canada",http://go.trader.ca,2026-03-09,new,,,,,,60,check
GH-0006,Hallmark Media,Research Analyst,"New York, NY",http://www.hallmarkchannel.com/,2026-03-09,new,,,,,,45,check
GH-0007,DaVita Kidney Care,Finance Data and Analytics Sr Analyst (IKC),"Denver, CO",http://www.davita.com,2026-03-09,new,,,,,,35,check
GH-0008,McNeil & Co.,Claims Data Analyst,"Cortland, NY",http://www.mcneilandcompany.com/,2026-03-09,new,,,,,,50,check
GH-0009,HealthStream,Business Intelligence Analyst,"Nashville, TN",http://www.healthstream.com,2026-03-09,new,,,,,,55,check
GH-0010,Willamette Valley Cancer Institute & Research Center,Data Coordinator,"Eugene, OR",https://www.oregoncancer.com,2026-03-09,new,,,,,,25,check
GH-0011,New Jersey Resources,Data Analyst,"Wall, NJ",http://www.njresources.com/,2026-03-09,new,,,,,,70,check
GH-0013,Hudson IT and Manpower,Power BI Developer / Data Analyst (1–3 Years Experience),"Houston, US",http://www.hudsonmanpower.com,2026-03-09,new,,,,,,50,check
GH-0045,Beth Israel Lahey Health,Research Assistant II,"Boston, MA",https://www.bilh.org,2026-03-09,new,,,,,,20,check
